cents,tonicity,normalized,smooth
40.5,0.4919287590943334,0.49831596907657616,0.4985054093479024
41.0,0.49184810939069845,0.4982908890744078,0.49846909104487086
41.5,0.49177051689483803,0.4982717840989493,0.49843619623655355
42.0,0.49169313420839983,0.49825200374576184,0.49840634208606294
42.5,0.49161862035166687,0.4982377664283392,0.4983794636579878
43.0,0.4915442844559354,0.49822278754472415,0.49835520591417176
43.5,0.4914724464224108,0.498212492950501,0.49833351090823014
44.0,0.4914007586812218,0.4982014003368598,0.49831407240305725
44.5,0.49133133685278935,0.49819445812657637,0.4982968327641408
45.0,0.49126204092383446,0.498186669066369,0.49828149330096727
45.5,0.4911949403260789,0.49818287361679364,0.4982679988842013
46.0,0.49112794383047376,0.4981781885197199,0.4982560884325785
46.5,0.49106278710868706,0.49817667420223966,0.4982457126494642
47.0,0.49099771534139774,0.49817423359921337,0.4982366310115618
47.5,0.4909343324576209,0.49817461923091966,0.4982287885107693
48.0,0.49087101735767047,0.4981740465264974,0.4982219605682248
48.5,0.490809227542879,0.4981759257796581,0.4982160931560738
49.0,0.4907474900879329,0.49817681869542585,0.4982109854724963
49.5,0.49068702893049065,0.49817958969900583,0.498206580831605
50.0,0.4906266062626158,0.49818134996228414,0.498202696330186
50.5,0.4905674381494503,0.4981849454955811,0.49819927356102556
51.0,0.4905082958256017,0.49818750858740996,0.49819614249449445
51.5,0.49045012202769195,0.4981912464468462,0.4981932399287169
52.0,0.4903919624166692,0.4981939326966984,0.49819041227374006
52.5,0.4903346353309492,0.49819748380378354,0.49818759035152277
53.0,0.49027731165233207,0.49819996602317806,0.4981846284686835
53.5,0.49022070814249774,0.4982030584145974,0.498181451655846
54.0,0.4901640979594639,0.4982050662424471,0.49817792901234964
54.5,0.4901079917275379,0.4982071867949743,0.498173979833763
55.0,0.4900518692826277,0.4982082083388312,0.49816948213072376
55.5,0.4899960945691236,0.49820898534641883,0.49816434591142356
56.0,0.48994029447610404,0.498208649740167,0.49815845146080306
56.5,0.489884812987045,0.4982080093264684,0.49815170207046144
57.0,0.4898292972861099,0.4982062434424125,0.49814399138502424
57.5,0.48977380224307016,0.4982034842024151,0.49813521163693925
58.0,0.4897182642035766,0.49819958671494885,0.4981252612085484
58.5,0.48966263565938,0.49819444381482597,0.4981140241238223
59.0,0.48960695537678744,0.49818814995755845,0.49810140387152585
59.5,0.48955100792075384,0.4981802055070183,0.49808727256302043
60.0,0.4894949998394448,0.49817109701878404,0.4980715417675558
60.5,0.4894385903593328,0.4981600319172255,0.4980540725656104
61.0,0.48938211116918745,0.4981477892028828,0.4980347754023158
61.5,0.4893250313490896,0.49813313190073394,0.498013497016711
62.0,0.4892678723261335,0.4981172824250057,0.49799015682260084
62.5,0.4892099032763492,0.4980985365970879,0.49796458816061756
63.0,0.48915184496765346,0.49807858268652944,0.4979367130437849
63.5,0.48909277983876187,0.4980552800826029,0.49790635159460056
64.0,0.48903361469968093,0.49803075183028395,0.49787342728420264
64.5,0.48897326395895846,0.4980024646064667,0.49783774158076444
65.0,0.48891280167023105,0.49797293229847034,0.4977992229786344
65.5,0.48885089563103923,0.49793904522276783,0.49775765671191213
66.0,0.4887888653805095,0.4979038909649083,0.49771297349013544
66.5,0.48872519950937887,0.4978639410085864,0.49766494063880123
67.0,0.4886613956051086,0.4978226990329885,0.4976134857423834
67.5,0.488595671502255,0.49777600373274833,0.4975583548798145
68.0,0.4885297940053887,0.49772798794754053,0.49749948256808885
68.5,0.4884617892037394,0.4976740422360094,0.49743796472956164
69.0,0.48839361403770615,0.4976187437807145,0.4973738094447886
69.5,0.488323017035858,0.49755683444882604,0.4973062371013321
70.0,0.48825223063544304,0.4974935352595743,0.4972352272176151
70.5,0.488178761097108,0.4974230218699038,0.49716095203453387
71.0,0.4881050808987909,0.4973510762726032,0.49708341410942897
71.5,0.4880283725096757,0.4972711173890819,0.49700284240802295
72.0,0.4879514293856066,0.49718967734078157,0.49691926704002687
72.5,0.48787115049936275,0.49709951248554085,0.4968329838125747
73.0,0.4877906097412032,0.49700781032094515,0.4967440526926904
73.5,0.487706433945872,0.4969066911864748,0.4966528390395279
74.0,0.4876219657107619,0.49680397054853837,0.49655943374762784
74.5,0.4875334309006569,0.49669083164045474,0.4964638367352176
75.0,0.4874445687019769,0.49657601676503843,0.49636614645180566
75.5,0.48735127990475663,0.4964499494210756,0.49626626278113833
76.0,0.48725762408508144,0.4963221206653984,0.4961642873717549
76.5,0.4871591447374342,0.49618211896036746,0.4960601275432842
77.0,0.48706025329348984,0.4960402576545893,0.4959538842569649
77.5,0.48695605795992225,0.4958851079015082,0.49584545597559887
78.0,0.4868513989020543,0.49572798501010695,0.4957349446615421
78.5,0.48677465661483965,0.49563521942507915,0.495623333647672
79.0,0.48669754372835244,0.49554070542953976,0.49551078062144654
79.5,0.4866006455912261,0.4953990733672242,0.49539687340092786
80.0,0.4865032795712512,0.49525547259507013,0.4952817491981707
80.5,0.48641029109066797,0.49512123066908814,0.4951657553826269
81.0,0.48631684740774433,0.49498505669561377,0.49504904820833096
81.5,0.48622874459803134,0.4948604999482767,0.49493203823232035
82.0,0.4861402054000632,0.4947340621194852,0.4948149050956051
82.5,0.48605818371464105,0.4946219983736005,0.49469811347126635
83.0,0.48597575142565846,0.49450812077224476,0.4945818652181429
83.5,0.4859010453142462,0.4944114489257445,0.4944666776781901
84.0,0.48582596312129506,0.49431305083868476,0.49435277472369366
84.5,0.48574910350655487,0.4942096549519193,0.4942415518015178
85.0,0.48567186263214335,0.4941045276272341,0.49413330389580157
85.5,0.4855903831694209,0.49398865749996235,0.494027810725743
86.0,0.48550850662617856,0.49387102583415005,0.4939253435385609
86.5,0.48542274600111246,0.4937434867267506,0.4938261250498159
87.0,0.48533657452112217,0.4936141607323073,0.4937304266235584
87.5,0.4852465016265402,0.4934748936164177,0.49363845261257044
88.0,0.4851560036622355,0.49333381320526926,0.49355047474561736
88.5,0.48508850544793675,0.49324566808374276,0.4934666607035513
89.0,0.48502068648270785,0.49315596024833475,0.49338597574934334
89.5,0.4849405204124506,0.4930365867774988,0.4933081680789063
90.0,0.4848599966558658,0.4929155710243914,0.49323406706356987
90.5,0.4847865512732929,0.4928102948666336,0.49316366710506265
91.0,0.484712795889054,0.49270349458999385,0.4930968010844144
91.5,0.48464750569484794,0.4926156816861991,0.49303339916968336
92.0,0.4845819547451134,0.49252646644592657,0.4929732408866619
92.5,0.4845260096204013,0.49245891098613803,0.4929165902788756
93.0,0.48446985279611243,0.49239007449761274,0.4928631854622415
93.5,0.4844243963435862,0.492345462456086,0.49281323251673254
94.0,0.4843787764666324,0.4922996888386538,0.4927664261086242
94.5,0.4843652260791089,0.4923280871767444,0.4927229917181677
95.0,0.4843516281730836,0.4923556014188194,0.4926829981768903
95.5,0.48432919142325087,0.4923616890065518,0.4926467730333095
96.0,0.48430668268150723,0.49236684187333546,0.49261447394447055
96.5,0.4842871312318344,0.49237814290931026,0.49258645549949504
97.0,0.4842675217949599,0.49238854849509284,0.4925628529591163
97.5,0.4842508072675472,0.4924049629841869,0.49254405616966485
98.0,0.4842340468712912,0.49242051685544097,0.49253019620234706
98.5,0.48421973487184433,0.4924410425996212,0.492521704332639
99.0,0.48420538643356636,0.49246073624565795,0.4925176698236217
99.5,0.4841821796147953,0.49245898362323626,0.4925181119082059
100.0,0.48415891740129213,0.4924563610530371,0.49252351661137533
100.5,0.4841346577890746,0.4924506702305741,0.49253407607464494
101.0,0.48411034176038287,0.4924441134941773,0.49254949448340146
101.5,0.4840837885578796,0.4924315974846262,0.4925696499486796
102.0,0.4840571759233118,0.49241821490559046,0.4925941858907628
102.5,0.4840368940888005,0.4924189032926412,0.4926229960668535
103.0,0.48401657114379915,0.49241877429127934,0.49265567686467693
103.5,0.4840010369065514,0.4924291186427246,0.49269211930868095
104.0,0.48398547457838054,0.49243868236618965,0.49273187705950405
104.5,0.48397508014163415,0.4924596119353293,0.49277481120477074
105.0,0.48396466880675654,0.49247979333816433,0.4928196495694695
105.5,0.4839622449811258,0.49251793648913356,0.4928658595943453
106.0,0.4839598175976788,0.4925553689249465,0.4929137727812942
106.5,0.4839663093860848,0.4926129467188971,0.4929635743151798
107.0,0.48397280974271967,0.4926698483816627,0.49301511771564377
107.5,0.48398927749512255,0.49274935139391984,0.4930681121173591
108.0,0.48400576476648033,0.4928282100828759,0.49312239232657556
108.5,0.48403334117022423,0.49293229788694737,0.49317879627390526
109.0,0.4840609470074477,0.4930357707247004,0.49323721410302096
109.5,0.4840883160724615,0.4931380095398154,0.49329721897149315
110.0,0.48411571094785244,0.49323963107818036,0.4933591105960457
110.5,0.48414810555054405,0.49335226274556554,0.4934230145344519
111.0,0.48418052845208076,0.4934642890797518,0.4934889078201707
111.5,0.4842100617940339,0.4935688939259383,0.4935569397425238
112.0,0.48423961769783563,0.4936728861300199,0.49362713571365324
112.5,0.4842668134647151,0.4937707002224796,0.49369919214153873
113.0,0.4842940271011465,0.4938678967764537,0.4937727804316842
113.5,0.48431886896331117,0.49395889407695964,0.4938476830088126
114.0,0.48434372467253833,0.4940492704790376,0.49392363217014523
114.5,0.48436546964968846,0.49413172666591826,0.49400053579335185
115.0,0.4843872248512004,0.494213559499877,0.4940781178240445
115.5,0.48439522988725836,0.4942626131307473,0.49415641124315796
116.0,0.48440323802949037,0.49431103275621957,0.4942350455422865
116.5,0.4844166083680492,0.4943713458679171,0.4943141745824796
117.0,0.4844299846148767,0.49443103747726447,0.4943934183084549
117.5,0.4844369810643531,0.49447518677874763,0.49447305156567345
118.0,0.4844439808551421,0.49451871450443563,0.49455268727653473
118.5,0.48447285142278274,0.4946127290973965,0.49463276076057033
119.0,0.4845017367490866,0.49470615469462614,0.4947128831495643
119.5,0.48452051117774697,0.494775329975895,0.494793295112145
120.0,0.48453929166924,0.49484390180721677,0.4948740763964337
120.5,0.4845627338698546,0.4949227536330164,0.49495544985220097
121.0,0.48458618061376035,0.49500100429753996,0.4950372976048212
121.5,0.4846149128162503,0.49509099852163835,0.49511994069265575
122.0,0.48464364686568284,0.4951803910943976,0.4952035840964776
122.5,0.48466656135791,0.4952555799448886,0.49528847660793857
123.0,0.4846894761927202,0.4953301694113203,0.49537479880176594
123.5,0.4847088069749554,0.495395785430978,0.4954627067949839
124.0,0.4847281380155173,0.495460807624374,0.4955523723547646
124.5,0.48474700281453653,0.4955241486204493,0.49564384420639646
125.0,0.4847658675231682,0.4955869007017187,0.49573730679850386
125.5,0.4847871553646796,0.4956547299369859,0.49583268470123215
126.0,0.48480844252833055,0.49572197458268186,0.4959305497040202
126.5,0.48483462020821255,0.4958000684873887,0.49603067636117065
127.0,0.48486079629637974,0.4958775813368168,0.4961328459709726
127.5,0.4848941407357783,0.4959712725364162,0.4962367080895633
128.0,0.48492748237596256,0.49606438550065307,0.49634247983222696
128.5,0.48497106961871506,0.4961808741614293,0.4964489195905386
129.0,0.4850146515853883,0.4962967844121271,0.49655506856677856
